REF_DATE,Year,GEO,Population centre and rural areas,Class of worker,Industry type,VALUE
2024-03-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,80
2024-04-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,79.1
2024-05-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,80.2
2024-06-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,80.5
2024-07-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,78.3
2024-08-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,78.9
2024-09-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,75.2
2024-10-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,73.4
2024-11-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,76.7
2024-12-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,78.6
2024-01-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,22.2
2024-02-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,22.8
2024-03-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,21.6
2024-04-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,21.7
2024-05-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,22.7
2024-06-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,22.3
2024-07-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,20.3
2024-08-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,20.7
2024-09-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,22.4
2024-10-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,22.2
2024-11-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,20.7
2024-12-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,22.4
2024-01-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",32.8
2024-02-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",31.2
2024-03-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",32.3
2024-04-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",31.9
2024-05-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",31.3
2024-06-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",30
2024-07-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",28.2
2024-08-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",29.7
2024-09-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",28.5
2024-10-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",29.4
2024-11-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",28.7
2024-12-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",29.7
2024-01-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",37.6
2024-02-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",38.1
2024-03-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",36.6
2024-04-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",36.2
2024-05-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",37.3
2024-06-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",34.2
2024-07-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",36
2024-08-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",34.3
2024-09-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",32.4
2024-10-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",34.8
2024-11-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",37.6
2024-12-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",36.3
2024-01-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",17.1
2024-02-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",18.2
2024-03-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",16.9
2024-04-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",16
2024-05-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",16.7
2024-06-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",17.7
2024-07-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",16.8
2024-08-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",17.3
2024-09-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",16.2
2024-10-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",15
2024-11-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",15.8
2024-12-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",16.9
2024-01-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,44.2
2024-02-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,44.6
2024-03-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,43.3
2024-04-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,44.4
2024-05-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,44.9
2024-06-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,45.2
2024-07-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,33.8
2024-08-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,34.4
2024-09-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,44.6
2024-10-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,46.2
2024-11-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,46.8
2024-12-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,45.4
2024-01-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,78.4
2024-02-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,80.7
2024-03-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,81.9
2024-04-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,81.8
2024-05-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,80.6
2024-06-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,85.2
2024-07-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,84.9
2024-08-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,86.4
2024-09-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,86.1
2024-10-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,84.3
2024-11-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,83.8
2024-12-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,84.8
2024-01-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",16.8
2024-02-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",18.6
2024-03-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",18.2
2024-04-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",18.4
2024-05-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",19.5
2024-06-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",19.6
2024-07-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",22.7
2024-08-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",23.9
2024-09-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",21.7
2024-10-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",21.1
2024-11-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",19
2024-12-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",19.3
2024-01-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,28.6
2024-02-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,31
2024-03-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,31.9
2024-04-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,34
2024-05-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,33.6
2024-06-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,37.6
2024-07-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,36.9
2024-08-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,38.9
2024-09-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,38.2
2024-10-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,36.1
2024-11-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,36.1
2024-12-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,35.2
2024-01-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),22.6
2024-02-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),23.2
2024-03-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),23.7
2024-04-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),22.7
2024-05-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),23.5
2024-06-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),22.3
2024-07-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),22.7
2024-08-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),21.6
2024-09-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),21.9
2024-10-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),20
2024-11-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),17
2024-12-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),18.9
2024-01-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,36.4
2024-02-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,36
2024-03-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,37
2024-04-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,35.7
2024-05-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,39.1
2024-06-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,39
2024-07-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,39.8
2024-08-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,40.3
2024-09-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,40.2
2024-10-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,40
2024-11-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,39.9
2024-12-01,2024,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,39.1
2025-01-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Agriculture,4.2
2025-02-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Agriculture,2.6
2025-03-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Agriculture,3.2
2025-04-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Agriculture,2.7
2025-05-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Agriculture,3.6
2025-06-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Agriculture,3.9
2025-07-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Agriculture,4.6
2025-08-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Agriculture,4.6
2025-09-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Agriculture,3.8
2025-01-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas",10.9
2025-02-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas",10.2
2025-03-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas",11.4
2025-04-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas",12.8
2025-05-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas",16.2
2025-06-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas",13.2
2025-07-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas",11.1
2025-08-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas",9.4
2025-09-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas",9.9
2025-01-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities,4.5
2025-02-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities,4.5
2025-03-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities,4.4
2025-04-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities,4.8
2025-05-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities,4.4
2025-06-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities,4.1
2025-07-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities,4.7
2025-08-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities,4.6
2025-09-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities,4.6
2025-01-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction,40.4
2025-02-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction,42.9
2025-03-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction,41.3
2025-04-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction,39.4
2025-05-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction,43
2025-06-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction,44.6
2025-07-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction,45
2025-08-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction,47.7
2025-09-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction,47.1
2025-01-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing,33.8
2025-02-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing,32.3
2025-03-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing,33.5
2025-04-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing,33.6
2025-05-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing,34.4
2025-06-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing,36.5
2025-07-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing,36
2025-08-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing,35.7
2025-09-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing,36.1
2025-01-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,80.5
2025-02-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,79.8
2025-03-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,76.7
2025-04-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,76.9
2025-05-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,81.1
2025-06-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,81.7
2025-07-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,77.4
2025-08-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,76.4
2025-09-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,75.7
2025-01-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,25.1
2025-02-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,24.5
2025-03-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,24
2025-04-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,23.4
2025-05-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,25.1
2025-06-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,25.4
2025-07-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,23.4
2025-08-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,23.7
2025-09-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,23.5
2025-01-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",28.9
2025-02-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",28.9
2025-03-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",30.2
2025-04-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",30.2
2025-05-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",30
2025-06-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",30.9
2025-07-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",31.2
2025-08-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",30.9
2025-09-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",29.6
2025-01-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",36.1
2025-02-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",34.7
2025-03-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",35.1
2025-04-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",36.4
2025-05-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",37.9
2025-06-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",37.5
2025-07-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",38.6
2025-08-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",37.3
2025-09-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",38
2025-01-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",15.4
2025-02-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",15.4
2025-03-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",18.2
2025-04-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",18.1
2025-05-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",18.8
2025-06-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",18.1
2025-07-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",19
2025-08-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",20.5
2025-09-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",18
2025-01-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,45.6
2025-02-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,46.1
2025-03-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,43.7
2025-04-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,42.6
2025-05-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,42
2025-06-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,40.8
2025-07-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,34.4
2025-08-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,33.3
2025-09-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,40.1
2025-01-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,84.4
2025-02-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,83.8
2025-03-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,84.7
2025-04-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,85.2
2025-05-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,85.8
2025-06-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,86.8
2025-07-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,87.6
2025-08-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,86.9
2025-09-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,86.4
2025-01-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",16.9
2025-02-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",18.3
2025-03-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",17.9
