REF_DATE,GEO,Labour force characteristics,Population centre and rural areas,Gender,Age group,VALUE
24-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 years and over,45.9
24-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 years and over,49.6
24-May,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 years and over,53.7
24-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 years and over,53.1
24-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 years and over,53.6
24-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 years and over,54.7
24-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 years and over,53.3
24-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 years and over,51.7
24-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 years and over,49.2
24-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 years and over,47.9
25-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 years and over,48.2
25-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 years and over,49.1
25-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 years and over,47.6
25-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 years and over,48.2
25-May,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 years and over,51.2
25-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 years and over,51.4
25-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 years and over,50.7
25-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 years and over,49.6
25-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 years and over,52.4
21-May,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,37.8
21-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,39.5
21-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,39.2
21-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,38.3
21-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,39.7
21-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,37.7
21-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,37
21-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,32.9
22-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,34.1
22-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,35.2
22-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,35.8
22-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,35.5
22-May,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,38.4
22-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,40.9
22-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,39.9
22-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,40.2
22-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,39.3
22-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,40.2
22-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,36.8
22-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,36.7
23-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,36.1
23-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,35
23-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,35.6
23-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,35.5
23-May,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,38.1
23-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,38
23-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,34.7
23-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,36.1
23-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,36.3
23-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,37.1
23-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,36.6
23-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,34.6
24-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,35.6
24-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,35
24-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,34.9
24-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,37.2
24-May,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,39.9
24-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,40.4
24-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,40.4
24-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,41.5
24-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,40
24-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,38.5
24-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,37.7
24-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,35.7
25-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,34.5
25-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,34.4
25-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,33
25-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,34.7
25-May,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,36.7
25-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,36.2
25-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,35.9
25-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,35.6
25-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,55 to 64 years,37.5
21-May,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,11.5
21-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,11.5
21-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,10.8
21-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,10.7
21-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,12.3
21-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,11.9
21-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,11.9
21-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,12.2
22-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,10.7
22-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,9.9
22-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,10.4
22-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,10.5
22-May,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,11.2
22-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,11.2
22-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,11.3
22-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,13.5
22-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,13.8
22-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,12.9
22-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,12.4
22-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,11.9
23-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,10.6
23-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,10.3
23-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,10.7
23-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,10.5
23-May,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,11.3
23-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,11
23-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,11.5
23-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,12.3
23-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,12.2
23-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,12.6
23-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,11.2
23-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,11.6
24-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,12.3
24-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,11.3
24-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,11
24-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,12.4
24-May,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,13.8
24-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,12.7
24-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,13.2
24-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,13.2
24-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,13.2
24-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,13.2
24-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,11.5
24-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,12.2
25-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,13.7
25-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,14.7
25-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,14.6
25-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,13.5
25-May,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,14.5
25-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,15.2
25-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,14.8
25-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,14
25-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Men+,65 years and over,15
21-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,184.3
21-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,186.8
21-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,180.4
21-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,178.5
21-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,179.7
21-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,178.5
21-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,180.1
21-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,180.1
22-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,172.6
22-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,179.5
22-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,180.2
22-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,183.9
22-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,189.7
22-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,191.3
22-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,187.7
22-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,186.1
22-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,187.1
22-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,188.4
22-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,185.2
22-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,187.3
23-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,185.5
23-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,189.6
23-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,189.9
23-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,189.9
23-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,194.5
23-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,196.4
23-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,193.9
23-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,194
23-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,192.3
23-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,190.8
23-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,192
23-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,191.8
24-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,189.5
24-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,191.7
24-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,193.1
24-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,196.5
24-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,199.1
24-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,204.2
24-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,198.9
24-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,199.5
24-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,198.2
24-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,197
24-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,197
24-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,194.2
25-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,191.6
25-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,191.3
25-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,194.2
25-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,194.9
25-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,203.5
25-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,205
25-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,197
25-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,197.7
25-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 years and over,198.3
21-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,25.4
21-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,26.9
21-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,28.6
21-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,27.2
21-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,20.4
21-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,20.4
21-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,21
21-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,21.6
22-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,18.4
22-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,22
22-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,22.6
22-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,22.1
22-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,26.8
22-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,29.1
22-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,31.4
22-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,30.6
22-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,25.3
22-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,24.5
22-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,23.6
22-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,24.2
23-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,23.9
23-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,24.9
23-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,25
23-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,25.9
23-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,27.9
23-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,28.6
23-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,31.3
23-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,31
23-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,24.3
23-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,23.2
23-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,24.2
23-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,24.2
24-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,23.2
24-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,23.2
24-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,24.3
24-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,25
24-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,26.1
24-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,27.7
24-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,29.9
24-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,31.1
24-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,25.4
24-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,24.1
24-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,24.6
24-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,23.1
25-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,22.4
25-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,21.2
25-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,21.2
25-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,21.2
25-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,25.2
25-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,28
25-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,28.8
25-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,29.1
25-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,15 to 24 years,25.1
21-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,158.9
21-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,159.9
21-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,151.8
21-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,151.3
21-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,159.3
21-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,158.2
21-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,159.1
21-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,158.5
22-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,154.2
22-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,157.4
22-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,157.6
22-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,161.8
22-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,162.9
22-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,162.2
22-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,156.4
22-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,155.5
22-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,161.8
22-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,163.9
22-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,161.6
22-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,163.1
23-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,161.6
23-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,164.8
23-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,164.9
23-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,164
23-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,166.6
23-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,167.7
23-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,162.6
23-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,163
23-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,168
23-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,167.6
23-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,167.9
23-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,167.6
24-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,166.4
24-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,168.6
24-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,168.8
24-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,171.6
24-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,173
24-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,176.5
24-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,168.9
24-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,168.4
24-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,172.8
24-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,172.9
24-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,172.4
24-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,171.2
25-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,169.3
25-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,170
25-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,173
25-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,173.6
25-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,178.2
25-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,177
25-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,168.2
25-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,168.6
25-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 years and over,173.2
21-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,76.5
21-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,75.2
21-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,72.4
21-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,70.8
21-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,74.2
21-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,72.7
21-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,72.2
21-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,73.5
22-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,72
22-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,72.3
22-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,72.9
22-Apr,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,76.4
22-May,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,77.7
22-Jun,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,77.8
22-Jul,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,77.1
22-Aug,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,77.1
22-Sep,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,79.4
22-Oct,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,79.4
22-Nov,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,78.7
22-Dec,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,79.2
23-Jan,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,79.6
23-Feb,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,80.7
23-Mar,New Brunswick,Employment,"Total, all population centres and rural areas",Women+,25 to 44 years,82
